smiles,ox
CC(n1c(=O)c2cc3c4c5c(ccc4c4c6c3c3c2c(c1=O)ccc3c1c6c2c(c4)c(=O)n(c(=O)c2cc1)C(C)C)c1cc2c(=O)n(C(C)C)c(=O)c3c2c2c1c1c5cc4c(=O)n(C(C)C)c(=O)c5c4c1c(c2cc3)cc5)C,5.569040769
[Na]OC(=O)C=Cc1ccc(cc1)C=CC(=O)O[Na],5.49209972
[Na]OC(=O)C=CC=CC(=O)O[Na],5.709191344
[Na]OC(=O)c1ccc(cc1)c1ccc(cc1)C(=O)O[Na],5.743869116
[Na]OC(=O)c1ccc(cc1)C(=O)O[Na],6.083584887
[Na]OC(=O)c1ccc(cc1)C#Cc1ccc(cc1)C(=O)O[Na],5.647587836
[Na]OC(=O)C#Cc1cc(C#CC(=O)O[Na])cc(c1)C#CC(=O)O[Na],5.984051899
[Na]OC(=O)c1ccc(s1)C(=O)O[Na],5.894610748
[Na]OC(=O)C#CC(=O)O[Na],6.325889288
[Na]OC(=O)c1ccc(cn1)C(=O)O[Na],6.178939157
[Na]OC(=O)c1ccc2c(c1)ccc(c2)C(=O)O[Na],5.603507817
[Na]OC(=O)c1ccc(cc1)C=Cc1ccc(cc1)C(=O)O[Na],5.367646205
[Li]OC(=O)c1ccc(o1)C(=O)O[Li],6.078949779
[Li]OC(=O)c1ccc([nH]1)C(=O)O[Li],5.681929875
OC(=O)c1ccc(o1)C(=O)O,6.792518566
OC(=O)c1ccc([nH]1)C(=O)O,6.358580166
O=C1C=CC(=O)C=C1,7.216147301
O=C1c2ccccc2C(=O)c2c1cccc2,6.868401065
O=C1c2sccc2C(=O)c2c1ccs2,6.601180328
O=C1c2occc2C(=O)c2c1cco2,6.461236261
O=C1c2cnccc2C(=O)c2c1ccnc2,6.867430707
C1C=CC=C1,5.670533223
C1=CC2=C(C1)C=CC2,4.899992635
c1ccc2c(c1)Cc1c2cccc1,5.682174206
c1ccc2c(c1)C=CC2,5.66586957
O1NC=CC=C1,4.378446507
N1CCNCC1,5.013014859
O1CC=CC=C1,5.09817299
C1=Cn2c(C1)ccc2,5.326979938
C1=Cn2c(=CC1)cccc2,2.840520439
S1NC=CC=C1,4.436113042
S1CC=CC=C1,5.202172158
[Li]OC(=O)c1cc2c(s1)cc1c(c2)sc(c1)C(=O)O[Li],5.435266806
